2026-04-01 12:36:12 | workinprogress | Conf:0.86 | Action:reduce_speed | Speed:20
2026-04-01 12:36:13 | workinprogress | Conf:0.86 | Action:reduce_speed | Speed:20
2026-04-01 12:36:14 | workinprogress | Conf:0.87 | Action:reduce_speed | Speed:20
2026-04-01 12:36:15 | workinprogress | Conf:0.89 | Action:reduce_speed | Speed:20
2026-04-01 12:36:16 | workinprogress | Conf:0.89 | Action:reduce_speed | Speed:20
2026-04-01 12:36:17 | workinprogress | Conf:0.88 | Action:reduce_speed | Speed:20
2026-04-01 12:36:18 | workinprogress | Conf:0.88 | Action:reduce_speed | Speed:20
2026-04-01 12:36:19 | workinprogress | Conf:0.87 | Action:reduce_speed | Speed:20
2026-04-01 12:36:20 | workinprogress | Conf:0.75 | Action:reduce_speed | Speed:20
2026-04-01 12:36:55 | workinprogress | Conf:0.77 | Action:reduce_speed | Speed:20
2026-04-01 12:36:57 | slowdown | Conf:0.8 | Action:notify_only | Speed:None
2026-04-01 12:36:59 | crossing | Conf:0.76 | Action:notify_only | Speed:None
2026-04-01 12:37:02 | crossing | Conf:0.74 | Action:notify_only | Speed:None
2026-04-01 12:37:04 | crossing | Conf:0.84 | Action:notify_only | Speed:None
2026-04-01 12:37:25 | workinprogress | Conf:0.74 | Action:reduce_speed | Speed:20
2026-04-01 12:37:27 | workinprogress | Conf:0.72 | Action:reduce_speed | Speed:20
2026-04-01 12:37:50 | workinprogress | Conf:0.7 | Action:reduce_speed | Speed:20
2026-04-01 12:38:25 | workinprogress | Conf:0.7 | Action:reduce_speed | Speed:20
2026-04-01 12:38:38 | slowdown | Conf:0.73 | Action:notify_only | Speed:None
2026-04-01 12:39:11 | slowdown | Conf:0.76 | Action:notify_only | Speed:None
2026-04-01 12:39:12 | workinprogress | Conf:0.74 | Action:reduce_speed | Speed:20
2026-04-01 12:39:13 | workinprogress | Conf:0.8 | Action:reduce_speed | Speed:20
2026-04-01 12:39:14 | workinprogress | Conf:0.79 | Action:reduce_speed | Speed:20
2026-04-01 12:39:15 | workinprogress | Conf:0.76 | Action:reduce_speed | Speed:20
2026-04-01 12:39:16 | workinprogress | Conf:0.78 | Action:reduce_speed | Speed:20
2026-04-01 12:39:18 | workinprogress | Conf:0.75 | Action:reduce_speed | Speed:20
2026-04-01 12:39:54 | workinprogress | Conf:0.76 | Action:reduce_speed | Speed:20
2026-04-01 12:39:55 | workinprogress | Conf:0.8 | Action:reduce_speed | Speed:20
2026-04-01 12:39:59 | workinprogress | Conf:0.82 | Action:reduce_speed | Speed:20
2026-04-01 12:40:11 | workinprogress | Conf:0.8 | Action:reduce_speed | Speed:20
2026-04-01 12:40:12 | workinprogress | Conf:0.82 | Action:reduce_speed | Speed:20
2026-04-01 12:40:13 | workinprogress | Conf:0.79 | Action:reduce_speed | Speed:20
2026-04-01 12:40:14 | workinprogress | Conf:0.77 | Action:reduce_speed | Speed:20
2026-04-01 12:40:15 | workinprogress | Conf:0.72 | Action:reduce_speed | Speed:20
2026-04-01 12:40:16 | workinprogress | Conf:0.82 | Action:reduce_speed | Speed:20
2026-04-01 12:40:18 | workinprogress | Conf:0.71 | Action:reduce_speed | Speed:20
2026-04-01 12:40:40 | workinprogress | Conf:0.73 | Action:reduce_speed | Speed:20
2026-04-01 12:40:44 | workinprogress | Conf:0.72 | Action:reduce_speed | Speed:20
2026-04-01 12:41:06 | workinprogress | Conf:0.72 | Action:reduce_speed | Speed:20
2026-04-01 12:41:30 | workinprogress | Conf:0.78 | Action:reduce_speed | Speed:20
2026-04-01 12:42:12 | workinprogress | Conf:0.73 | Action:reduce_speed | Speed:20
2026-04-01 12:42:46 | workinprogress | Conf:0.79 | Action:reduce_speed | Speed:20
2026-04-01 12:42:47 | crossing | Conf:0.75 | Action:notify_only | Speed:None
2026-04-01 12:42:48 | crossing | Conf:0.75 | Action:notify_only | Speed:None
2026-04-01 12:42:54 | crossing | Conf:0.73 | Action:notify_only | Speed:None
2026-04-01 12:43:01 | crossing | Conf:0.77 | Action:notify_only | Speed:None
2026-04-01 12:43:02 | speedlimit | Conf:0.82 | Action:set_speed | Speed:30
2026-04-01 12:43:03 | speedlimit | Conf:0.83 | Action:set_speed | Speed:30
2026-04-01 12:43:04 | speedlimit | Conf:0.86 | Action:set_speed | Speed:30
2026-04-01 12:43:05 | speedlimit | Conf:0.88 | Action:set_speed | Speed:30
2026-04-01 12:43:06 | speedlimit | Conf:0.83 | Action:set_speed | Speed:30
2026-04-01 12:43:07 | speedlimit | Conf:0.82 | Action:set_speed | Speed:30
2026-04-01 12:43:08 | speedlimit | Conf:0.86 | Action:set_speed | Speed:30
2026-04-01 12:43:09 | speedlimit | Conf:0.85 | Action:set_speed | Speed:30
2026-04-01 12:44:02 | speedlimit | Conf:0.72 | Action:set_speed | Speed:30
2026-04-01 12:49:34 | workinprogress | Conf:0.75 | Action:reduce_speed | Speed:20
2026-04-01 12:49:51 | workinprogress | Conf:0.76 | Action:reduce_speed | Speed:20
2026-04-01 12:49:52 | workinprogress | Conf:0.79 | Action:reduce_speed | Speed:20
2026-04-01 12:49:54 | workinprogress | Conf:0.73 | Action:reduce_speed | Speed:20
2026-04-01 12:50:07 | workinprogress | Conf:0.78 | Action:reduce_speed | Speed:20
2026-04-01 12:50:08 | workinprogress | Conf:0.82 | Action:reduce_speed | Speed:20
2026-04-01 12:50:09 | workinprogress | Conf:0.7 | Action:reduce_speed | Speed:20
2026-04-01 12:50:13 | workinprogress | Conf:0.76 | Action:reduce_speed | Speed:20
2026-04-01 12:50:14 | speedlimit | Conf:0.77 | Action:set_speed | Speed:30
