epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
171,6028.67,1.08081,0.53462,1.1286,0.9979,1,0.995,0.75625,1.01078,0.37935,1.03382,0.00055108,0.00055108,0.00055108
172,6065.88,1.16343,0.56348,1.16864,0.99695,0.99954,0.995,0.76778,0.96184,0.37228,1.01784,0.000546968,0.000546968,0.000546968
173,6098.35,1.1649,0.55966,1.18236,0.99847,1,0.995,0.77246,0.94739,0.37445,1.01608,0.000542857,0.000542857,0.000542857
174,6131.34,1.07845,0.53808,1.1184,0.9982,0.9999,0.995,0.76076,0.98526,0.37628,1.02164,0.000538746,0.000538746,0.000538746
175,6164.66,1.05871,0.52042,1.14035,0.99877,1,0.995,0.77174,0.9444,0.37473,1.01359,0.000534635,0.000534635,0.000534635
176,6195.19,1.12813,0.57128,1.14707,0.99844,1,0.995,0.76678,0.96276,0.37692,1.01928,0.000530523,0.000530523,0.000530523
177,6231.95,1.08874,0.52773,1.15698,0.99901,1,0.995,0.78094,0.91536,0.36537,1.00388,0.000526412,0.000526412,0.000526412
178,6262.11,1.15104,0.60176,1.18704,0.9989,1,0.995,0.78465,0.90617,0.36547,1.00201,0.000522301,0.000522301,0.000522301
179,6296.05,1.08057,0.52821,1.13012,0.99875,1,0.995,0.77339,0.92806,0.37092,1.00634,0.000518189,0.000518189,0.000518189
180,6326.32,1.03799,0.53295,1.10161,0.99901,1,0.995,0.76982,0.94163,0.37084,1.01778,0.000514078,0.000514078,0.000514078
181,6359.4,1.08116,0.55342,1.13224,0.99868,1,0.995,0.77111,0.93785,0.37775,1.01158,0.000509967,0.000509967,0.000509967
182,6393.25,1.13062,0.5933,1.16747,0.99879,1,0.995,0.78174,0.90071,0.37405,1.00001,0.000505855,0.000505855,0.000505855
183,6429.39,1.09737,0.56212,1.14462,0.99858,1,0.995,0.76501,0.95911,0.3747,1.01314,0.000501744,0.000501744,0.000501744
184,6463.1,1.0643,0.55638,1.12891,0.99822,1,0.995,0.7805,0.91442,0.3685,1.00295,0.000497633,0.000497633,0.000497633
185,6492.4,1.05657,0.54413,1.12986,0.9986,1,0.995,0.77421,0.90021,0.3586,0.99869,0.000493522,0.000493522,0.000493522
186,6531.08,1.09876,0.56075,1.15115,0.9981,1,0.995,0.77699,0.92458,0.36358,1.00417,0.00048941,0.00048941,0.00048941
